scheme,source_code,source_label,analysis_code,analysis_label,mapping_kind,n_2010_in_group,n_2018_in_group
2018,9350,Parking Attendants,9350,Parking Attendants,one_to_one,1,1
2018,9365,Transportation Service Attendants,9365,Transportation Service Attendants,one_to_one,1,1
2018,9410,Transportation Inspectors,9410,Transportation Inspectors,one_to_one,1,1
2018,9415,Passenger Attendants,9415,Passenger Attendants,one_to_one,1,1
2018,9430,Other Transportation Workers,9430,Other Transportation Workers,merged,2,1
2018,9510,Crane and Tower Operators,9510,Crane and Tower Operators,one_to_one,1,1
2018,9570,"Conveyor, Dredge, and Hoist and Winch Operators",9570,"Conveyor, Dredge, and Hoist and Winch Operators",merged,3,1
2018,9600,Industrial Truck and Tractor Operators,9600,Industrial Truck and Tractor Operators,one_to_one,1,1
2018,9610,Cleaners of Vehicles and Equipment,9610,Cleaners of Vehicles and Equipment,one_to_one,1,1
2018,9620,"Laborers and Freight, Stock, and Material Movers, Hand",9620,"Laborers and Freight, Stock, and Material Movers, Hand",one_to_one,1,1
2018,9630,Machine Feeders and Offbearers,9630,Machine Feeders and Offbearers,one_to_one,1,1
2018,9640,"Packers and Packagers, Hand",9640,"Packers and Packagers, Hand",one_to_one,1,1
2018,9645,Stockers and Order Fillers,9645,Stockers and Order Fillers,one_to_one,1,1
2018,9650,Pumping Station Operators,9650,Pumping Station Operators,one_to_one,1,1
2018,9720,Refuse and Recyclable Material Collectors,9720,Refuse and Recyclable Material Collectors,one_to_one,1,1
2018,9760,Other Material Moving Workers,9760,Other Material Moving Workers,merged,3,1
2018,9800,Military Officer Special and Tactical Operations Leaders,9800,Military Officer Special and Tactical Operations Leaders,one_to_one,1,1
2018,9810,First-Line Enlisted Military Supervisors,9810,First-Line Enlisted Military Supervisors,one_to_one,1,1
2018,9825,Military Enlisted Tactical Operations and Air/Weapons Specialists and Crew Members,9825,Military Enlisted Tactical Operations and Air/Weapons Specialists and Crew Members,one_to_one,1,1
2018,9830,"Military, occupation blank",9830,"Military, occupation blank",supplemental_military,1,1
2018,9840,"Military, commissioned officers and warrant officers",9840,"Military, commissioned officers and warrant officers",supplemental_military,1,1
2018,9850,"Military, non-commissioned officers and other enlisted personnel",9850,"Military, non-commissioned officers and other enlisted personnel",supplemental_military,1,1
2018,9900,"Blank, unknown, don't know, refused, or information inadequate",9900,"Blank, unknown, don't know, refused, or information inadequate",supplemental_unknown,1,1
2018,9920,"Unemployed, with no work experience in the last 5 years or earlier or never worked",9920,"Unemployed, with no work experience in the last 5 years or earlier or never worked",one_to_one,1,1
